date,time,size,r_version,r_arch,r_os,package,version,country,ip_id
1/1/2015,0:57:34,512,NA,NA,NA,pnmtrem,1.3,CN,9
1/1/2015,0:57:35,45341,NA,NA,NA,pnmtrem,1.3,CN,9
1/1/2015,0:57:36,512,NA,NA,NA,pnn,1.0.1,CN,9
1/1/2015,0:57:37,40858,NA,NA,NA,pnn,1.0.1,CN,9
1/1/2015,0:57:38,514,NA,NA,NA,poLCA,1.4.1,CN,9
1/1/2015,0:57:45,420488,NA,NA,NA,poLCA,1.4.1,CN,9
1/1/2015,0:57:47,512,NA,NA,NA,pocrm,0.8,CN,9
1/1/2015,0:57:48,21406,NA,NA,NA,pocrm,0.8,CN,9
1/1/2015,0:57:48,512,NA,NA,NA,poibin,1.2,CN,9
1/1/2015,0:57:49,514,NA,NA,NA,poilog,0.4,CN,9
1/1/2015,0:57:49,516,NA,NA,NA,pointdensityP,0.1,CN,9
1/1/2015,0:57:49,514,NA,NA,NA,poisson.glm.mix,1.2,CN,9
1/1/2015,0:57:50,512,NA,NA,NA,poistweedie,1,CN,9
1/1/2015,0:57:50,512,NA,NA,NA,polidata,0.1.0,CN,9
1/1/2015,0:57:51,28053,NA,NA,NA,polidata,0.1.0,CN,9
1/1/2015,0:57:51,514,NA,NA,NA,pollstR,1.1.1,CN,9
1/1/2015,0:57:45,19755,3.1.2,x86_64,linux-gnu,cubature,1.1-2,CA,31
1/1/2015,0:57:18,344765,NA,NA,NA,mixcat,1.0-3,FR,32
1/1/2015,0:57:49,705182,3.1.2,x86_64,linux-gnu,lattice,0.20-29,US,33
1/1/2015,0:57:52,1151001,3.1.2,x86_64,linux-gnu,mice,2.22,US,1
1/1/2015,0:57:57,14622,NA,NA,NA,bios2mds,1.2.2,FR,8
1/1/2015,0:57:32,87707,NA,NA,NA,desire,1.0.7,FR,29
1/1/2015,0:58:07,13173,NA,NA,NA,arm,1.0-2,FR,29
1/1/2015,0:58:31,1567922,3.1.2,x86_64,linux-gnu,Hmisc,3.14-6,US,34
1/1/2015,0:58:29,2063039,3.0.2,x86_64,linux-gnu,latticeExtra,0.6-26,US,34
1/1/2015,0:58:23,128065,3.1.2,x86_64,linux-gnu,reshape,0.8.5,CN,35
